,label,amount,day,day_id,month,month_id,year,type
219,Station U,43.25,Lundi 6,6,Janvier,1,2025,CARD_PAYMENT
220,Callune,10.7,Lundi 6,6,Janvier,1,2025,CARD_PAYMENT
222,Pharma Paridis,1.34,Jeudi 9,9,Janvier,1,2025,CARD_PAYMENT
223,DEVRED,49.0,Jeudi 9,9,Janvier,1,2025,CARD_PAYMENT
224,E.Leclerc,9.95,Jeudi 9,9,Janvier,1,2025,CARD_PAYMENT
225,Lidl,2.1,Jeudi 9,9,Janvier,1,2025,CARD_PAYMENT
226,DIS'Automatic,0.4,Vendredi 10,10,Janvier,1,2025,CARD_PAYMENT
227,Ethereal Decib,5.0,Vendredi 10,10,Janvier,1,2025,CARD_PAYMENT
228,Decadanse,8.0,Vendredi 10,10,Janvier,1,2025,CARD_PAYMENT
229,Decadanse,8.0,Vendredi 10,10,Janvier,1,2025,CARD_PAYMENT
230,Ethereal Decibel,10.0,Samedi 11,11,Janvier,1,2025,CARD_PAYMENT
231,Ethereal Decib,5.0,Samedi 11,11,Janvier,1,2025,CARD_PAYMENT
232,Ethereal Decib,20.0,Samedi 11,11,Janvier,1,2025,CARD_PAYMENT
233,Decadanse,8.0,Samedi 11,11,Janvier,1,2025,CARD_PAYMENT
234,Decadanse,13.0,Dimanche 12,12,Janvier,1,2025,CARD_PAYMENT
235,Ethereal Decibel,10.0,Samedi 11,11,Janvier,1,2025,CARD_PAYMENT
236,Decadanse,3.0,Samedi 11,11,Janvier,1,2025,CARD_PAYMENT
237,Decadanse,18.0,Samedi 11,11,Janvier,1,2025,CARD_PAYMENT
238,Les Hameaux Bio 5,61.51,Samedi 11,11,Janvier,1,2025,CARD_PAYMENT
239,DIS'Automatic,0.5,Lundi 13,13,Janvier,1,2025,CARD_PAYMENT
240,DIS'Automatic,0.5,Lundi 13,13,Janvier,1,2025,CARD_PAYMENT
241,DIS'Automatic,0.5,Lundi 13,13,Janvier,1,2025,CARD_PAYMENT
242,Game Over,7.0,Mercredi 15,15,Janvier,1,2025,CARD_PAYMENT
